service_code,service_full_name,endpoint_prefix,api_version,protocols,uid,regions,region_count,is_global_like,has_resource_interface
cloudhsmv2,AWS CloudHSM V2,cloudhsmv2,2017-04-28,json,cloudhsmv2-2017-04-28,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ca-central-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,27,False,False
cloudsearch,Amazon CloudSearch,cloudsearch,2013-01-01,query,cloudsearch-2013-01-01,ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;eu-central-1;eu-west-1;sa-east-1;us-east-1;us-west-1;us-west-2,10,False,False
cloudsearchdomain,Amazon CloudSearch Domain,cloudsearchdomain,2013-01-01,rest-json,cloudsearchdomain-2013-01-01,,0,True,False
cloudtrail,AWS CloudTrail,cloudtrail,2013-11-01,json,cloudtrail-2013-11-01,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
cloudtrail-data,AWS CloudTrail Data Service,cloudtrail-data,2021-08-11,rest-json,cloudtrail-data-2021-08-11,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-3;ca-central-1;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,23,False,False
cloudwatch,Amazon CloudWatch,monitoring,2010-08-01,query,monitoring-2010-08-01,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,True
codeartifact,CodeArtifact,codeartifact,2018-09-22,rest-json,codeartifact-2018-09-22,ap-northeast-1;ap-south-1;ap-southeast-1;ap-southeast-2;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;us-east-1;us-east-2;us-west-2,13,False,False
codebuild,AWS CodeBuild,codebuild,2016-10-06,json,codebuild-2016-10-06,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ca-central-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,28,False,False
codecatalyst,Amazon CodeCatalyst,codecatalyst,2022-09-28,rest-json,codecatalyst-2022-09-28,,0,True,False
codecommit,AWS CodeCommit,codecommit,2015-04-13,json,codecommit-2015-04-13,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ca-central-1;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,25,False,False
codeconnections,AWS CodeConnections,codeconnections,2023-12-01,json,codeconnections-2023-12-01,,0,True,False
codedeploy,AWS CodeDeploy,codedeploy,2014-10-06,json,codedeploy-2014-10-06,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
codeguru-reviewer,Amazon CodeGuru Reviewer,codeguru-reviewer,2019-09-19,rest-json,codeguru-reviewer-2019-09-19,ap-northeast-1;ap-southeast-1;ap-southeast-2;eu-central-1;eu-north-1;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-2,10,False,False
codeguru-security,Amazon CodeGuru Security,codeguru-security,2018-05-10,rest-json,codeguru-security-2018-05-10,,0,True,False
codeguruprofiler,Amazon CodeGuru Profiler,codeguru-profiler,2019-07-18,rest-json,codeguruprofiler-2019-07-18,ap-northeast-1;ap-southeast-1;ap-southeast-2;eu-central-1;eu-north-1;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-2,10,False,False
codepipeline,AWS CodePipeline,codepipeline,2015-07-09,json,codepipeline-2015-07-09,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ca-central-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,29,False,False
codestar-connections,AWS CodeStar connections,codestar-connections,2019-12-01,json,codestar-connections-2019-12-01,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,17,False,False
codestar-notifications,AWS CodeStar Notifications,codestar-notifications,2019-10-15,rest-json,codestar-notifications-2019-10-15,ap-east-1;ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-north-1;eu-west-1;eu-west-2;eu-west-3;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,18,False,False
cognito-identity,Amazon Cognito Identity,cognito-identity,2014-06-30,json,cognito-identity-2014-06-30,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,32,False,False
cognito-idp,Amazon Cognito Identity Provider,cognito-idp,2016-04-18,json,cognito-idp-2016-04-18,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,32,False,False
cognito-sync,Amazon Cognito Sync,cognito-sync,2014-06-30,rest-json,cognito-sync-2014-06-30,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;eu-central-1;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-2,11,False,False
comprehend,Amazon Comprehend,comprehend,2017-11-27,json,comprehend-2017-11-27,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-2,12,False,False
comprehendmedical,AWS Comprehend Medical,comprehendmedical,2018-10-30,json,comprehendmedical-2018-10-30,ap-southeast-2;ca-central-1;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-2,7,False,False
compute-optimizer,AWS Compute Optimizer,compute-optimizer,2019-11-01,json,compute-optimizer-2019-11-01,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ca-central-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,28,False,False
config,AWS Config,config,2014-11-12,json,config-2014-11-12,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
connect,Amazon Connect Service,connect,2017-08-08,rest-json,connect-2017-08-08,af-south-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-2;us-east-1;us-west-2,10,False,False
connect-contact-lens,Amazon Connect Contact Lens,contact-lens,2020-08-21,rest-json,connect-contact-lens-2020-08-21,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-2;us-east-1;us-west-2,10,False,False
connectcampaigns,AmazonConnectCampaignService,connect-campaigns,2021-01-30,rest-json,connectcampaigns-2021-01-30,af-south-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-2;us-east-1;us-west-2,10,False,False
connectcampaignsv2,AmazonConnectCampaignServiceV2,connect-campaigns,2024-04-23,rest-json,connectcampaignsv2-2024-04-23,af-south-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-2;us-east-1;us-west-2,10,False,False
connectcases,Amazon Connect Cases,cases,2022-10-03,rest-json,connectcases-2022-10-03,ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-2;us-east-1;us-west-2,9,False,False
connectparticipant,Amazon Connect Participant Service,participant.connect,2018-09-07,rest-json,connectparticipant-2018-09-07,af-south-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-2;us-east-1;us-west-2,10,False,False
controlcatalog,AWS Control Catalog,controlcatalog,2018-05-10,rest-json,controlcatalog-2018-05-10,,0,True,False
controltower,AWS Control Tower,controltower,2018-05-10,rest-json,controltower-2018-05-10,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
cost-optimization-hub,Cost Optimization Hub,cost-optimization-hub,2022-07-26,json,cost-optimization-hub-2022-07-26,us-east-1,1,False,False
cur,AWS Cost and Usage Report Service,cur,2017-01-06,json,cur-2017-01-06,us-east-1,1,False,False
customer-profiles,Amazon Connect Customer Profiles,profile,2020-08-15,rest-json,customer-profiles-2020-08-15,af-south-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-2;us-east-1;us-west-2,10,False,False
databrew,AWS Glue DataBrew,databrew,2017-07-25,rest-json,databrew-2017-07-25,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,19,False,False
dataexchange,AWS Data Exchange,dataexchange,2017-07-25,rest-json,dataexchange-2017-07-25,ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;eu-central-1;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-1;us-west-2,11,False,False
datapipeline,AWS Data Pipeline,datapipeline,2012-10-29,json,datapipeline-2012-10-29,ap-northeast-1;ap-southeast-2;eu-west-1;us-east-1;us-west-2,5,False,False
datasync,AWS DataSync,datasync,2018-11-09,json,datasync-2018-11-09,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
datazone,Amazon DataZone,datazone,2018-05-10,rest-json,datazone-2018-05-10,ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,29,False,False
dax,Amazon DynamoDB Accelerator (DAX),dax,2017-04-19,json,dax-2017-04-19,ap-northeast-1;ap-south-1;ap-southeast-1;ap-southeast-2;eu-central-1;eu-north-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,15,False,False
deadline,AWSDeadlineCloud,deadline,2023-10-12,rest-json,deadline-2023-10-12,,0,True,False
detective,Amazon Detective,api.detective,2018-10-26,rest-json,detective-2018-10-26,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,21,False,False
devicefarm,AWS Device Farm,devicefarm,2015-06-23,json,devicefarm-2015-06-23,us-west-2,1,False,False
devops-guru,Amazon DevOps Guru,devops-guru,2020-12-01,rest-json,devops-guru-2020-12-01,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-north-1;eu-west-1;eu-west-2;eu-west-3;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,16,False,False
directconnect,AWS Direct Connect,directconnect,2012-10-25,json,directconnect-2012-10-25,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
discovery,AWS Application Discovery Service,discovery,2015-11-01,json,discovery-2015-11-01,ap-northeast-1;ap-southeast-2;eu-central-1;eu-west-1;eu-west-2;us-east-1;us-west-2,7,False,False
