service_code,service_full_name,endpoint_prefix,api_version,protocols,uid,regions,region_count,is_global_like,has_resource_interface
ebs,Amazon Elastic Block Store,ebs,2019-11-02,rest-json,ebs-2019-11-02,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
ec2,Amazon Elastic Compute Cloud,ec2,2016-11-15,ec2,ec2-2016-11-15,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,True
ec2-instance-connect,AWS EC2 Instance Connect,ec2-instance-connect,2018-04-02,json,ec2-instance-connect-2018-04-02,,0,True,False
ecr,Amazon Elastic Container Registry,api.ecr,2015-09-21,json,ecr-2015-09-21,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
ecr-public,Amazon Elastic Container Registry Public,api.ecr-public,2020-10-30,json,ecr-public-2020-10-30,us-east-1;us-west-2,2,False,False
ecs,Amazon EC2 Container Service,ecs,2014-11-13,json,ecs-2014-11-13,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
efs,Amazon Elastic File System,elasticfilesystem,2015-02-01,rest-json,elasticfilesystem-2015-02-01,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
eks,Amazon Elastic Kubernetes Service,eks,2017-11-01,rest-json,eks-2017-11-01,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
eks-auth,Amazon EKS Auth,eks-auth,2023-11-26,rest-json,eks-auth-2023-11-26,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
elasticache,Amazon ElastiCache,elasticache,2015-02-02,query,elasticache-2015-02-02,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
elasticbeanstalk,AWS Elastic Beanstalk,elasticbeanstalk,2010-12-01,query,elasticbeanstalk-2010-12-01,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-3;ca-central-1;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,24,False,False
elastictranscoder,Amazon Elastic Transcoder,elastictranscoder,2012-09-25,rest-json,elastictranscoder-2012-09-25,ap-northeast-1;ap-south-1;ap-southeast-1;ap-southeast-2;eu-west-1;us-east-1;us-west-1;us-west-2,8,False,False
elb,Elastic Load Balancing,elasticloadbalancing,2012-06-01,query,elasticloadbalancing-2012-06-01,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
elbv2,Elastic Load Balancing,elasticloadbalancing,2015-12-01,query,elasticloadbalancingv2-2015-12-01,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
emr,Amazon EMR,elasticmapreduce,2009-03-31,json,elasticmapreduce-2009-03-31,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
emr-containers,Amazon EMR Containers,emr-containers,2020-10-01,rest-json,emr-containers-2020-10-01,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ca-central-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,27,False,False
emr-serverless,EMR Serverless,emr-serverless,2021-07-13,rest-json,emr-serverless-2021-07-13,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,28,False,False
entityresolution,AWS EntityResolution,entityresolution,2018-05-10,rest-json,entityresolution-2018-05-10,,0,True,False
es,Amazon Elasticsearch Service,es,2015-01-01,rest-json,es-2015-01-01,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
events,Amazon EventBridge,events,2015-10-07,json,eventbridge-2015-10-07,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
evidently,Amazon CloudWatch Evidently,evidently,2021-02-01,rest-json,evidently-2021-02-01,ap-northeast-1;ap-southeast-1;ap-southeast-2;eu-central-1;eu-north-1;eu-west-1;us-east-1;us-east-2;us-west-2,9,False,False
evs,Amazon Elastic VMware Service,evs,2023-07-27,json,evs-2023-07-27,,0,True,False
finspace,FinSpace User Environment Management service,finspace,2021-03-12,rest-json,finspace-2021-03-12,ap-northeast-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-2,10,False,False
finspace-data,FinSpace Public API,finspace-api,2020-07-13,rest-json,finspace-2020-07-13,ca-central-1;eu-west-1;us-east-1;us-east-2;us-west-2,5,False,False
firehose,Amazon Kinesis Firehose,firehose,2015-08-04,json,firehose-2015-08-04,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
fis,AWS Fault Injection Simulator,fis,2020-12-01,rest-json,fis-2020-12-01,,0,True,False
fms,Firewall Management Service,fms,2018-01-01,json,fms-2018-01-01,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,32,False,False
forecast,Amazon Forecast Service,forecast,2018-06-26,json,forecast-2018-06-26,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;eu-central-1;eu-west-1;us-east-1;us-east-2;us-west-2,10,False,False
forecastquery,Amazon Forecast Query Service,forecastquery,2018-06-26,json,forecastquery-2018-06-26,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;eu-central-1;eu-west-1;us-east-1;us-east-2;us-west-2,10,False,False
frauddetector,Amazon Fraud Detector,frauddetector,2019-11-15,json,frauddetector-2019-11-15,ap-southeast-1;ap-southeast-2;eu-west-1;us-east-1;us-east-2;us-west-2,6,False,False
freetier,AWS Free Tier,freetier,2023-09-07,json,freetier-2023-09-07,,0,True,False
fsx,Amazon FSx,fsx,2018-03-01,json,fsx-2018-03-01,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
gamelift,Amazon GameLift,gamelift,2015-10-01,json,gamelift-2015-10-01,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-5;ap-southeast-7;ca-central-1;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,23,False,False
gameliftstreams,Amazon GameLift Streams,gameliftstreams,2018-05-10,rest-json,gameliftstreams-2018-05-10,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
geo-maps,Amazon Location Service Maps V2,geo-maps,2020-11-19,rest-json,geo-maps-2020-11-19,,0,True,False
geo-places,Amazon Location Service Places V2,geo-places,2020-11-19,rest-json,geo-places-2020-11-19,,0,True,False
geo-routes,Amazon Location Service Routes V2,geo-routes,2020-11-19,rest-json,geo-routes-2020-11-19,,0,True,False
glacier,Amazon Glacier,glacier,2012-06-01,rest-json,glacier-2012-06-01,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-3;ca-central-1;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,22,False,True
globalaccelerator,AWS Global Accelerator,globalaccelerator,2018-08-08,json,globalaccelerator-2018-08-08,,0,True,False
glue,AWS Glue,glue,2017-03-31,json,glue-2017-03-31,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
grafana,Amazon Managed Grafana,grafana,2020-08-18,rest-json,grafana-2020-08-18,ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;eu-central-1;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-2,10,False,False
greengrass,AWS Greengrass,greengrass,2017-06-07,rest-json,greengrass-2017-06-07,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-5;ca-central-1;eu-central-1;eu-south-2;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-2,14,False,False
greengrassv2,AWS IoT Greengrass V2,greengrass,2020-11-30,rest-json,greengrassv2-2020-11-30,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-5;ca-central-1;eu-central-1;eu-south-2;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-2,14,False,False
groundstation,AWS Ground Station,groundstation,2019-05-23,rest-json,groundstation-2019-05-23,af-south-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;eu-central-1;eu-north-1;eu-west-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-2,12,False,False
guardduty,Amazon GuardDuty,guardduty,2017-11-28,rest-json,guardduty-2017-11-28,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
health,AWS Health APIs and Notifications,health,2016-08-04,json,health-2016-08-04,us-east-2,1,False,False
healthlake,Amazon HealthLake,healthlake,2017-07-01,json,healthlake-2017-07-01,ap-south-1;ap-southeast-2;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-2,7,False,False
iam,AWS Identity and Access Management,iam,2010-05-08,query,iam-2010-05-08,,0,True,True
identitystore,AWS SSO Identity Store,identitystore,2020-06-15,json,identitystore-2020-06-15,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,32,False,False
imagebuilder,EC2 Image Builder,imagebuilder,2019-12-02,rest-json,imagebuilder-2019-12-02,,0,True,False
importexport,AWS Import/Export,importexport,2010-06-01,query,importexport-2010-06-01,,0,True,False
inspector,Amazon Inspector,inspector,2016-02-16,json,inspector-2016-02-16,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-2;eu-central-1;eu-north-1;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-1;us-west-2,12,False,False
inspector-scan,Inspector Scan,inspector-scan,2023-08-08,rest-json,inspector-scan-2023-08-08,,0,True,False
inspector2,Inspector2,inspector2,2020-06-08,rest-json,inspector2-2020-06-08,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,32,False,False
internetmonitor,Amazon CloudWatch Internet Monitor,internetmonitor,2021-06-03,rest-json,internetmonitor-2021-06-03,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
invoicing,AWS Invoicing,invoicing,2024-12-01,json,invoicing-2024-12-01,,0,True,False
iot,AWS IoT,iot,2015-05-28,rest-json,iot-2015-05-28,ap-east-1;ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-5;ca-central-1;eu-central-1;eu-north-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,21,False,False
iot-data,AWS IoT Data Plane,data-ats.iot,2015-05-28,rest-json,iot-data-2015-05-28,ap-east-1;ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-5;ca-central-1;eu-central-1;eu-north-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,21,False,False
iot-jobs-data,AWS IoT Jobs Data Plane,data.jobs.iot,2017-09-29,rest-json,iot-jobs-data-2017-09-29,ap-east-1;ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-5;ca-central-1;eu-central-1;eu-north-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,21,False,False
iot-managed-integrations,Managed integrations for AWS IoT Device Management,api.iotmanagedintegrations,2025-03-03,rest-json,iot-managed-integrations-2025-03-03,,0,True,False
iotanalytics,AWS IoT Analytics,iotanalytics,2017-11-27,rest-json,iotanalytics-2017-11-27,ap-northeast-1;ap-south-1;ap-southeast-2;eu-central-1;eu-west-1;us-east-1;us-east-2;us-west-2,8,False,False
iotdeviceadvisor,AWS IoT Core Device Advisor,api.iotdeviceadvisor,2020-09-18,rest-json,iotdeviceadvisor-2020-09-18,ap-northeast-1;eu-west-1;us-east-1;us-west-2,4,False,False
iotevents,AWS IoT Events,iotevents,2018-07-27,rest-json,iotevents-2018-07-27,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-2,12,False,False
iotevents-data,AWS IoT Events Data,data.iotevents,2018-10-23,rest-json,iotevents-data-2018-10-23,,0,True,False
iotfleethub,AWS IoT Fleet Hub,api.fleethub.iot,2020-11-03,rest-json,iotfleethub-2020-11-03,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-north-1;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-2,13,False,False
iotfleetwise,AWS IoT FleetWise,iotfleetwise,2021-06-17,json,iotfleetwise-2021-06-17,ap-south-1;eu-central-1;us-east-1,3,False,False
iotsecuretunneling,AWS IoT Secure Tunneling,api.tunneling.iot,2018-10-05,json,iotsecuretunneling-2018-10-05,ap-east-1;ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-5;ca-central-1;eu-central-1;eu-north-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,21,False,False
iotsitewise,AWS IoT SiteWise,iotsitewise,2019-12-02,rest-json,iotsitewise-2019-12-02,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-1;us-east-1;us-east-2;us-west-2,11,False,False
iotthingsgraph,AWS IoT Things Graph,iotthingsgraph,2018-09-06,json,iotthingsgraph-2018-09-06,ap-northeast-1;ap-northeast-2;ap-southeast-2;eu-west-1;us-east-1;us-west-2,6,False,False
iottwinmaker,AWS IoT TwinMaker,iottwinmaker,2021-11-29,rest-json,iottwinmaker-2021-11-29,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;eu-central-1;eu-west-1;us-east-1;us-west-2,9,False,False
iotwireless,AWS IoT Wireless,api.iotwireless,2020-11-22,rest-json,iotwireless-2020-11-22,ap-northeast-1;ap-southeast-2;eu-central-1;eu-west-1;sa-east-1;us-east-1;us-west-2,7,False,False
ivs,Amazon Interactive Video Service,ivs,2020-07-14,rest-json,ivs-2020-07-14,ap-northeast-1;ap-northeast-2;ap-south-1;eu-central-1;eu-west-1;us-east-1;us-west-2,7,False,False
ivs-realtime,Amazon Interactive Video Service RealTime,ivsrealtime,2020-07-14,rest-json,ivs-realtime-2020-07-14,ap-northeast-1;ap-northeast-2;ap-south-1;eu-central-1;eu-west-1;us-east-1;us-west-2,7,False,False
ivschat,Amazon Interactive Video Service Chat,ivschat,2020-07-14,rest-json,ivschat-2020-07-14,ap-northeast-1;ap-northeast-2;ap-south-1;eu-central-1;eu-west-1;us-east-1;us-west-2,7,False,False
kafka,Managed Streaming for Kafka,kafka,2018-11-14,rest-json,kafka-2018-11-14,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
kafkaconnect,Managed Streaming for Kafka Connect,kafkaconnect,2021-09-14,rest-json,kafkaconnect-2021-09-14,ap-northeast-1;ap-northeast-2;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-north-1;eu-west-1;eu-west-2;eu-west-3;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,17,False,False
kendra,AWSKendraFrontendService,kendra,2019-02-03,json,kendra-2019-02-03,ap-northeast-1;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-2,10,False,False
kendra-ranking,Amazon Kendra Intelligent Ranking,kendra-ranking,2022-10-19,json,kendra-ranking-2022-10-19,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,31,False,False
keyspaces,Amazon Keyspaces,cassandra,2022-02-10,json,keyspaces-2022-02-10,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-north-1;eu-west-1;eu-west-2;eu-west-3;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,19,False,False
keyspacesstreams,Amazon Keyspaces Streams,cassandra-streams,2024-09-09,json,keyspacesstreams-2024-09-09,,0,True,False
kinesis,Amazon Kinesis,kinesis,2013-12-02,json,kinesis-2013-12-02,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
